"p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Ppp1r1b",1.76539698442246e-12,-1.02892770461736,0.232,0.727,8.94173572609975e-09
"Gstp1",2.00220554651298e-12,-0.899915498447049,0.125,0.643,1.01411710930883e-08
"Akr1a1",2.3547481915697e-12,-0.859388173075126,0.375,0.842,1.19267995903005e-08
"Arpc1b",2.37341174980053e-12,-0.956991082914537,0.321,0.793,1.20213305127397e-08
"Arpc2",2.90224565092436e-12,-1.01459887516169,0.268,0.738,1.46998742219319e-08
"Ceacam1",3.07936924593823e-12,-1.09140372497977,0.071,0.567,1.55970052306772e-08
"Pdlim1",3.41177877666323e-12,-1.02021247852972,0.143,0.65,1.72806595037992e-08
"Tspo",3.73431805972063e-12,-1.0588312817891,0.107,0.626,1.8914320972485e-08
"Usmg5",5.22160058226361e-12,-0.782304303393064,0.446,0.875,2.64474069491652e-08
"Timm8b",6.2891954255853e-12,-1.00695840685973,0.125,0.638,3.18547748305896e-08
"Atp5e",6.3327033926139e-12,-0.732739085333165,0.554,0.882,3.20751426835894e-08
"Mrpl52",6.56186698146045e-12,-0.926187245489761,0.214,0.735,3.32358562610972e-08
"Selenow",7.16813604519202e-12,-0.898777318378771,0.214,0.724,3.63066090688976e-08
"Idh3b",7.29566363709934e-12,-1.00713903720985,0.089,0.593,3.69525363219082e-08
"Ndufs6",7.33455196466248e-12,-0.77448425865539,0.304,0.812,3.71495057010155e-08
"Gpx2",9.16616604964864e-12,-0.855738732458419,0.625,0.884,4.64266310414704e-08
"Pebp1",9.80367624845761e-12,-0.932205637437787,0.304,0.762,4.96556201984378e-08
"Rnase1",1.058564181141e-11,1.57621265575371,0.393,0.118,5.36162757747916e-08
"Ndufs8",1.06608821809381e-11,-0.955587122767257,0.268,0.727,5.39973682464517e-08
"2010107E04Rik",1.10217112080007e-11,-0.944557013064647,0.25,0.749,5.58249672685236e-08
"Ndufab1",1.24917566346969e-11,-0.804901373431289,0.482,0.843,6.32707473547399e-08
"Eif4a1",1.27560779470165e-11,-0.731117605327172,0.589,0.908,6.46095348016387e-08
"Cox7b",1.27728644654358e-11,-0.792303279643209,0.518,0.868,6.46945585174321e-08
"Ndufb8",1.42658255026308e-11,-0.745272322572823,0.464,0.862,7.22564061708249e-08
"Eif5a",1.49250930725954e-11,-0.777677434605385,0.571,0.884,7.55955964126956e-08
"H2afv",1.54817734240325e-11,-0.841453008266622,0.429,0.83,7.84151823927249e-08
"Vamp8",1.60651512368869e-11,-0.907370664598173,0.179,0.708,8.13699910148319e-08
"Hsp90aa1",1.6435930060042e-11,-1.00331947177602,0.339,0.775,8.32479857541126e-08
"Capzb",1.90808559405961e-11,-0.978586128032386,0.214,0.682,9.66445353391193e-08
"Mdh1",1.91293922182673e-11,-0.830222354910599,0.429,0.849,9.6890371585524e-08
"Rpl39",1.97768752195246e-11,-0.938787392749635,0.411,0.803,1.00169872986892e-07
"Lsm4",2.36308312276022e-11,-0.86537578315891,0.357,0.806,1.19690160167805e-07
"2200002D01Rik",2.63684180542349e-11,-1.42387739741136,0.232,0.683,1.335560374447e-07
"Eef1b2",2.70522199773529e-11,-0.793620655593657,0.589,0.88,1.37019494185293e-07
"Psma2",3.11732967895380e-11,-0.862450792757311,0.286,0.76,1.5789274823901e-07
"Atp5g3",3.25517693911897e-11,-0.77249794073455,0.482,0.868,1.64874711966376e-07
"Ndufb4",3.41156568344439e-11,-0.845641175864841,0.232,0.708,1.72795801866458e-07
"Ppa1",3.50234984678723e-11,-0.979269297425891,0.232,0.731,1.77394019739773e-07
"Mrps24",3.88537058785195e-11,-0.9130446894761,0.196,0.706,1.96794020274701e-07
"Cdk4",4.08264242499415e-11,-0.999793697729171,0.161,0.639,2.06785838825954e-07
"Lgals9",4.27731646995642e-11,-0.870920340675519,0.321,0.763,2.16646079203293e-07
"Ndufc2",4.27843234675149e-11,-0.876092482993324,0.339,0.774,2.16702598362963e-07
"Aldoa",4.80416518357524e-11,-0.98714928720269,0.304,0.746,2.43330966548086e-07
"Aprt",5.17301980410945e-11,-0.980395610271387,0.286,0.714,2.62013453078143e-07
"Sod2",5.18096041086527e-11,-1.00060130363257,0.089,0.563,2.62415644810326e-07
"Cfl1",5.46810885504967e-11,-0.52646187718946,0.5,0.853,2.76959713508266e-07
"Psmb1",5.59091736628049e-11,-0.818958282652929,0.339,0.802,2.83179964602107e-07
"Txn2",5.75656507142259e-11,-0.949259383519501,0.179,0.651,2.91570020867554e-07
"Hnrnpa2b1",6.047837103775e-11,-0.777980318458834,0.536,0.861,3.06322949306204e-07
"Rpl36al",6.65020625393764e-11,-0.637824457416819,0.696,0.921,3.36832946761941e-07
"Park7",7.15224365021406e-11,-0.775803979455628,0.339,0.804,3.62261140883342e-07
"H2-D1",7.3510591155085e-11,-0.931706819317151,0.464,0.852,3.72331144200505e-07
"Pkig",7.57864383081751e-11,-0.973309700257272,0.054,0.519,3.83858310030907e-07
"Tkt",7.6209801442216e-11,-0.805881437403293,0.286,0.782,3.86002644304824e-07
"Ndufb2",7.92545124785598e-11,-0.808685407760597,0.268,0.752,4.01424105703905e-07
"Bsg",7.93988048700008e-11,-0.71458209691605,0.518,0.87,4.02154946666554e-07
"Edf1",8.36516709061903e-11,-0.841571108799398,0.393,0.834,4.23695713139854e-07
"Hspd1",9.20610160934387e-11,-0.895320432282485,0.375,0.785,4.66289046513267e-07
"Snrpd2",9.27142197555992e-11,-0.845244777472119,0.304,0.736,4.6959752306211e-07
"Atox1",9.43095588666122e-11,-0.890198380237394,0.214,0.685,4.77677915659391e-07
"Ak2",9.51138837620938e-11,-0.742777162178832,0.196,0.69,4.81751821255005e-07
"Clca3b",9.58793091549057e-11,-1.22923621682697,0.304,0.72,4.85628700869597e-07
"Set",1.00432546406948e-10,-0.936059914950093,0.143,0.62,5.08690847551189e-07
"Ndufa10",1.01158143400853e-10,-0.82207771815493,0.179,0.681,5.12365996325318e-07
"Ldha",1.01915418879279e-10,-0.857281399258893,0.661,0.899,5.16201596623546e-07
"Ndufb7",1.05963917394322e-10,-0.828636740495367,0.393,0.798,5.36707241602239e-07
"Dhrs4",1.07459125258001e-10,-1.01979950879545,0.125,0.582,5.44280469431773e-07
"Psmd8",1.07956806944049e-10,-0.927398019009359,0.125,0.59,5.46801227171607e-07
"Hnrnpa3",1.10367374657755e-10,-0.932028149813688,0.25,0.704,5.59010752641531e-07
"Lamtor4",1.16390390513105e-10,-0.955138294415692,0.071,0.534,5.89517327948875e-07
"Srsf2",1.26425923961647e-10,-0.918072723595558,0.25,0.699,6.4034730486574e-07
"Eif3k",1.34240572220874e-10,-0.820971007122598,0.393,0.787,6.79928498298728e-07
"Atp1a1",1.39852757719262e-10,-0.938320034051387,0.393,0.843,7.0835421784806e-07
"Vdac1",1.40802464862155e-10,-0.89980439078554,0.25,0.704,7.13164484526817e-07
"Ptms",1.46299625295052e-10,-0.918538347808925,0.143,0.618,7.41007602119437e-07
"Ube2s",1.51455322527695e-10,-1.05313822454997,0.214,0.663,7.67121208602774e-07
"Tm4sf5",1.66686060602842e-10,-1.15868626355099,0.232,0.686,8.44264896953397e-07
"Ywhae",1.74127786011507e-10,-0.829920741011031,0.357,0.779,8.81957236148285e-07
"Srsf7",1.8626386915505e-10,-0.999856771259749,0.143,0.597,9.43426497270327e-07
"Erh",1.88973083151645e-10,-0.819449619583999,0.411,0.791,9.57148666163083e-07
"Ndufs7",1.98994860829091e-10,-0.764050787017369,0.393,0.81,1.00790897009935e-06
"Ftl1",2.03330928778453e-10,-0.564114456844549,0.714,0.956,1.02987115426286e-06
"Ndufa12",2.18318219454356e-10,-0.791594975545149,0.393,0.817,1.10578178153631e-06
"Rpl9-ps6",2.26231164159177e-10,-0.85147280307723,0.143,0.602,1.14586084646623e-06
"Dctn3",2.44756109200669e-10,-0.946624708779885,0.125,0.574,1.23968969310139e-06
"Arhgdia",2.46618243342265e-10,-0.796331851601897,0.143,0.609,1.24912140252857e-06
"Emg1",2.46903424810171e-10,-0.941632008480108,0.232,0.665,1.25056584666352e-06
"Pomp",2.53215361152166e-10,-0.763883981416106,0.339,0.776,1.28253580423572e-06
"Eno1",2.66112417534619e-10,-0.879662006478915,0.161,0.625,1.34785939481285e-06
"Minos1",2.69746291748089e-10,-0.749378341210351,0.446,0.839,1.36626496770407e-06
"Psmb4",2.77918759845478e-10,-0.869846181926722,0.232,0.703,1.40765851861734e-06
"Pkm",3.09539082421669e-10,-0.882416997220225,0.268,0.703,1.56781545246575e-06
"Psmb9",3.11803388987981e-10,-0.965982170982711,0.071,0.541,1.57928416522412e-06
"Sap18",3.27809173402274e-10,-0.814987145332679,0.161,0.623,1.66035346328252e-06
"Psme1",3.30808147050521e-10,-0.825222816200935,0.375,0.775,1.67554326481089e-06
"Hnrnpk",3.35285214540354e-10,-0.833541683259372,0.304,0.736,1.69821961164689e-06
"Myl12a",3.76486016435865e-10,-0.867416965823879,0.232,0.675,1.90690167324766e-06
"Rtraf",4.01837738723984e-10,-0.856047001048757,0.268,0.698,2.03530814663698e-06
"Rbm8a",4.62196690571289e-10,-0.892090793534053,0.161,0.63,2.34102623774358e-06
"Cyb5a",4.65936678235276e-10,-0.924075918178893,0.304,0.745,2.35996927526167e-06
"Vdac3",4.69405089207337e-10,-0.861654747317883,0.071,0.537,2.37753677683516e-06
"Ndufs3",4.94642445920336e-10,-0.833814425822355,0.25,0.722,2.5053639885865e-06
"Aldob",4.99547742359077e-10,-1.11524230744016,0.321,0.748,2.53020931504873e-06
"Banf1",5.22293589813478e-10,-0.766739093435822,0.25,0.703,2.64541703240527e-06
"Gm10020",5.66142533843745e-10,-0.810331236390536,0.071,0.522,2.86751193391857e-06
"Gpx1",6.05096137502023e-10,-0.793980606021052,0.554,0.858,3.06481193644775e-06
"Ccl25",6.10810203519025e-10,-1.0132680960141,0.375,0.749,3.09375368082386e-06
"B2m",6.24368739342918e-10,-0.733753593241652,0.696,0.918,3.16242766477188e-06
