"p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Hdgf",2.30530123783453e-17,0.315074045081714,0.824,0.565,1.16763507696319e-13
"Bzw2",2.50582530609472e-17,0.263433328016245,0.57,0.292,1.26920051753697e-13
"Ssna1",2.63924884610439e-17,0.27099551128952,0.642,0.359,1.33677954055187e-13
"Ppp1r1b",2.94473607463221e-17,0.267864222193946,0.939,0.653,1.49150882180121e-13
"Npm3",3.00186162987642e-17,0.33312685200908,0.745,0.466,1.52044291553241e-13
"Hmgb3",3.73730361869053e-17,0.297552964895771,0.688,0.395,1.89294428286675e-13
"Hnrnpab",3.7719694657389e-17,0.280370192583417,0.885,0.611,1.91050253439676e-13
"Phb",4.19687811600039e-17,0.282966893833235,0.858,0.574,2.1257187657542e-13
"Nup62",4.39623430731315e-17,0.271161601533496,0.342,0.138,2.22669267665411e-13
"Hat1",4.44314515634109e-17,0.256874505687137,0.388,0.163,2.25045302168676e-13
"Tomm5",4.70078049797014e-17,0.286857560107177,0.885,0.611,2.38094532222187e-13
"Itpa",7.20267507460157e-17,0.263726572920424,0.558,0.289,3.6481549252857e-13
"Pycrl",1.00999748323078e-16,0.270966442170328,0.694,0.395,5.11563725256391e-13
"Pdap1",1.06467833121823e-16,0.290383237288416,0.703,0.425,5.39259574762033e-13
"Hnrnpa3",1.13619408777437e-16,0.280034355629601,0.882,0.641,5.75482305457721e-13
"Cacybp",1.48953700015244e-16,0.293353108051388,0.676,0.397,7.54450490577211e-13
"Ppp1cc",1.49404133582368e-16,0.298612546223349,0.748,0.48,7.56731936594696e-13
"Ncl",2.6612190214311e-16,0.302971489996098,0.873,0.614,1.34790743435485e-12
"Rbm3",2.82604480139263e-16,0.257712779645879,0.909,0.698,1.43139169190537e-12
"Rnf186",4.68660817335974e-16,0.343188775704356,0.733,0.467,2.37376703980671e-12
"Prmt1",5.31860306326926e-16,0.254488037903386,0.712,0.426,2.69387245154588e-12
"Srsf2",5.64634938295294e-16,0.262128195558643,0.885,0.634,2.85987596246567e-12
"Utp3",5.86137733738997e-16,0.25675178188072,0.391,0.176,2.96878762138802e-12
"Sumo2",5.95600751182726e-16,0.268827282175882,0.885,0.625,3.01671780474051e-12
"H1f0",7.78426564099283e-16,0.387158158166402,0.788,0.556,3.94273054716287e-12
"Acp1",9.28365473053048e-16,0.282501774410871,0.715,0.442,4.70217112101369e-12
"Hsph1",9.6250190296608e-16,0.260221425739372,0.403,0.182,4.87507213852319e-12
"Reep4",1.14279799749629e-15,0.267924028105566,0.37,0.162,5.78827185731869e-12
"Mrps22",1.80994306343156e-15,0.26064996123702,0.385,0.171,9.16736161628086e-12
"Mrpl55",3.5980045326774e-15,0.277426044998378,0.63,0.368,1.8223892958011e-11
"Cdk2ap2",4.05367782058324e-15,0.290850171908577,0.809,0.541,2.05318781612541e-11
"Coq7",7.55879230118507e-15,0.257043127969109,0.603,0.346,3.82852830055024e-11
"Snrpd3",7.78229724188791e-15,0.262183680579927,0.824,0.542,3.94173355301623e-11
"Sf3b5",7.86087088639856e-15,0.2698693033381,0.818,0.559,3.98153110396087e-11
"Pgam1",9.07504077461671e-15,0.270501989222022,0.797,0.556,4.59650815234336e-11
"Snrpe",1.35301619234056e-14,0.259978990933487,0.906,0.652,6.85302701420494e-11
"Trir",1.73379863890236e-14,0.255191185526397,0.77,0.532,8.78169010604046e-11
"Mrpl38",3.10203439998056e-14,0.252903662060607,0.636,0.367,1.57118042359015e-10
"Cdk4",3.29337300792762e-14,0.254235379613072,0.839,0.569,1.66809342851534e-10
"Cldn2",4.25489088503736e-14,0.251048830430469,0.379,0.176,2.15510223327142e-10
"Tomm20",6.30031637406895e-14,0.266206595189207,0.855,0.632,3.19111024346592e-10
"Phf5a",7.51297839199557e-14,0.255595388639661,0.709,0.459,3.80532355554576e-10
"Ccnd2",7.9904687122951e-14,0.301097835603079,0.742,0.491,4.04717240277747e-10
"Psme3",8.4681001164818e-14,0.251067325870819,0.485,0.25,4.28909270899803e-10
"Pcbp1",1.03722811514061e-13,0.272632270320592,0.861,0.619,5.25356040318717e-10
"Psmd14",1.05309416246044e-13,0.255914906613604,0.564,0.323,5.33392193286213e-10
"Txn2",3.73557046213132e-13,0.269000575871318,0.83,0.587,1.89206643906951e-09
"Rnf7",4.25296533891042e-13,0.252258439771122,0.694,0.438,2.15412694415813e-09
"Eif3g",5.63744761155071e-13,0.253530723214551,0.824,0.565,2.85536721525044e-09
"Slbp",6.10628326217989e-13,0.25120015724455,0.597,0.35,3.09283247229412e-09
"Mrpl36",1.70243095887858e-12,0.28009462675591,0.785,0.52,8.62281280672002e-09
"Khk",0.00406416738337091,-0.31622739570689,0.639,0.433,1
